6 0 1.38979    2 0 0.369364
6 6 0.332213    3 2 1.58986
7 6 1.89214    3 3 0.300564
6 6 0.332213    3 3 1.53349
8 7 1.94159    3 3 0.326063
6 6 0.644621    6 0 1.38637
8 8 1.41294    3 3 0.326063
6 6 0.332213    3 3 1.5865
8 8 1.88886    3 3 0.326063
6 6 0.332213    3 3 1.64617
8 8 1.60736    3 3 0.326063
6 6 0.332213    3 3 1.62375
9 7 0.625998    3 3 0.280409
9 9 0.490424    16 3 1.08573
8 8 1.68213    7 7 0.290637
9 9 0.490424    16 16 0.966508
8 8 0.379627    7 7 0.290637
9 9 0.547565    17 16 1.39919
8 8 1.74258    7 7 0.290637
9 9 0.547565    17 17 1.38276
8 8 1.85279    7 7 0.290637
9 9 0.547565    17 17 1.5705
8 8 1.78949    7 7 0.290637
9 9 0.871599    23 6 1.24699
14 0 1.40349    2 2 0.401358
9 9 0.871599    23 23 0.473103
8 8 1.73586    7 7 0.290637
9 9 0.584165    24 17 1.22509
15 8 1.94493    8 8 0.306522
9 9 0.584165    24 24 1.26805
14 14 1.85347    2 2 0.401358
9 9 0.584165    24 24 1.35516
15 15 1.70238    8 8 0.306522
9 9 0.584165    24 24 1.40274
15 15 1.04158    8 8 0.306522
9 9 0.871599    23 23 0.634887
17 14 1.16254    2 2 0.330906
9 9 0.584165    24 24 1.39844
15 15 1.91546    8 8 0.306522
9 9 0.584165    24 24 1.36898
19 17 1.08761    2 2 0.497946
9 9 0.584165    24 24 1.45408
21 19 0.730542    2 2 0.696006
9 9 0.584165    24 24 1.3896
21 21 0.268338    2 2 0.696006
9 9 0.584165    24 24 0.515849
22 0 0.633498    2 2 0.669869
21 21 0.398614    30 23 1.52422
15 15 1.80159    8 8 0.306522
9 9 0.338365    3 3 0.70734
15 15 1.80805    8 8 0.306522
9 9 0.584165    24 24 0.705637
15 15 1.75144    8 8 0.306522
9 9 0.584165    24 24 1.28418
20 20 1.64763    2 2 0.607676
9 9 0.584165    24 24 1.38827
15 15 1.60028    8 8 0.306522
21 21 0.398614    30 30 1.43376
15 15 1.61354    8 8 0.306522
9 9 0.584165    24 24 1.29501
15 15 1.69322    8 8 0.306522
9 9 0.584165    24 24 1.35498
15 15 1.64566    8 8 0.306522
9 9 0.584165    24 24 1.03138
21 21 1.22872    2 2 0.696006
21 21 0.0229773    23 23 0.676636
15 15 1.59071    8 8 0.306522
9 9 0.584165    24 24 1.36324
21 21 1.5123    2 2 0.696006
9 9 0.584165    24 24 1.18856
21 21 1.39673    2 2 0.696006
21 21 0.882529    37 30 1.28871
21 21 0.602406    2 2 0.696006
9 9 0.584165    24 24 1.34283
15 15 1.52142    8 8 0.306522
9 9 0.584165    24 24 1.33063
15 15 1.95576    8 8 0.306522
9 9 0.584165    24 24 1.40554
15 15 1.74574    8 8 0.306522
21 21 0.882529    37 37 1.20428
15 15 1.81878    8 8 0.306522
9 9 0.584165    24 24 1.41274
9 9 0.500647    3 3 0.280409
9 9 0.584165    24 24 1.38378
15 15 1.86844    8 8 0.306522
9 9 0.584165    24 24 0.997353
15 15 1.10201    8 8 0.306522
9 9 0.584165    24 24 1.3763
21 21 0.583646    2 2 0.696006
9 9 0.584165    24 24 0.721536
21 21 1.0079    2 2 0.696006
21 21 0.882529    37 37 1.58528
25 21 0.493081    2 2 0.705802
9 9 0.584165    24 24 1.42115
15 15 1.87274    8 8 0.306522
21 21 0.882529    37 37 1.70576
15 15 1.29376    8 8 0.306522
9 9 0.248184    47 24 0.516665
15 15 1.84222    8 8 0.306522
27 25 0.907265    57 37 1.5311
15 15 1.78933    8 8 0.306522
27 27 0.078851    59 23 1.14814
15 15 1.38168    8 8 0.306522
9 9 0.584165    24 24 1.36776
28 27 1.51681    60 37 0.561101
9 9 0.584165    24 24 1.1529
28 28 0.819255    60 60 0.535878
9 9 0.584165    24 24 1.39139
28 28 1.43824    60 60 0.535878
28 28 1.08004    70 57 1.62263
25 25 0.986972    2 2 0.705802
9 9 0.547565    17 17 1.02626
15 15 1.50122    8 8 0.306522
9 9 0.584165    24 24 1.42819
15 15 1.36486    8 8 0.306522
9 9 0.584165    24 24 1.20513
15 15 0.809186    8 8 0.306522
9 9 0.584165    24 24 1.36431
15 15 1.75185    8 8 0.306522
9 9 0.584165    24 24 1.40008
15 15 0.740979    8 8 0.306522
9 9 0.584165    24 24 1.35536
15 15 1.35246    8 8 0.306522
9 9 0.584165    24 24 1.40401
15 15 1.82062    8 8 0.306522
9 9 0.64044    71 24 1.40601
28 28 1.00027    60 60 0.535878
6 6 0.346118    81 3 0.769294
19 19 1.15949    2 2 0.497946
9 9 0.64044    71 71 1.46801
28 28 0.765911    60 60 0.535878
9 9 0.64044    71 71 1.62343
15 15 1.86694    86 73 0.564525
9 9 0.64044    71 71 1.42066
34 28 1.50953    60 60 0.624785
35 34 1.01437    89 57 1.19378
15 15 1.96991    86 86 0.587544
9 9 0.64044    71 71 1.4631
15 15 1.81628    86 86 0.587544
9 9 0.64044    71 71 1.44891
15 15 1.96555    86 86 0.587544
9 9 0.64044    71 71 1.41524
15 15 1.81441    86 86 0.587544
9 9 0.64044    71 71 1.70033
15 15 1.97427    86 86 0.587544
35 35 0.933043    99 70 1.71667
15 15 1.36037    86 86 0.587544
9 9 0.64044    71 71 1.26356
15 15 1.71884    86 86 0.587544
9 9 0.64044    71 71 1.40266
15 15 1.87351    86 86 0.587544
9 9 0.254606    86 86 0.794054
15 15 1.7872    86 86 0.587544
35 35 0.661572    100 57 0.743896
15 15 1.82268    86 86 0.587544
9 9 0.64044    71 71 1.52125
15 15 1.61637    86 86 0.587544
9 9 0.64044    71 71 1.51225
15 15 1.91403    86 86 0.587544
9 9 0.64044    71 71 1.46931
35 35 1.4658    60 60 0.676908
9 9 0.64044    71 71 1.31823
15 15 1.83084    86 86 0.587544
9 9 0.64044    71 71 1.29123
15 15 0.662345    86 86 0.587544
9 9 0.64044    71 71 1.47352
15 15 1.78139    86 86 0.587544
9 9 0.64044    71 71 1.38467
35 35 1.63091    60 60 0.676908
9 9 0.64044    71 71 1.70409
15 15 1.64768    86 86 0.587544
9 9 0.372749    105 47 1.30618
15 15 1.57102    86 86 0.587544
9 9 0.64044    71 71 1.59208
39 15 0.406408    86 86 0.702136
9 9 0.64044    71 71 1.39538
39 39 1.50022    86 86 0.702136
9 9 0.584165    24 24 0.346648
35 35 1.31821    60 60 0.676908
9 9 0.64044    71 71 1.63301
15 15 1.53311    86 86 0.587544
9 9 0.64044    71 71 1.09923
39 39 1.98293    86 86 0.702136
9 9 0.64044    71 71 1.40562
39 39 1.97604    86 86 0.702136
9 9 0.64044    71 71 1.48496
39 39 1.86703    86 86 0.702136
9 9 0.64044    71 71 1.37459
39 39 1.96178    86 86 0.702136
9 9 0.64044    71 71 0.786298
39 39 1.55184    86 86 0.702136
9 9 0.64044    71 71 1.65185
39 39 1.94203    86 86 0.702136
9 9 0.64044    71 71 1.43466
39 39 1.41986    86 86 0.702136
35 35 1.10487    109 99 1.58289
39 39 1.93786    86 86 0.702136
9 9 0.64044    71 71 1.54394
35 35 0.778556    60 60 0.676908
9 9 0.64044    71 71 1.46804
39 39 0.127986    86 86 0.702136
9 9 0.64044    71 71 0.914302
17 17 0.386002    86 86 0.863072
28 28 0.157624    59 59 0.922096
39 39 1.72849    86 86 0.702136
9 9 0.64044    71 71 1.62839
35 35 0.346917    60 60 0.676908
9 9 0.493714    111 105 1.65525
39 39 1.91711    86 86 0.702136
9 9 0.64044    71 71 1.4268
39 39 0.951051    86 86 0.702136
9 9 0.879555    119 111 1.50445
39 39 1.88987    86 86 0.702136
9 9 0.917656    120 119 1.72661
39 39 0.841991    86 86 0.702136
35 35 1.14214    121 109 1.08018
14 14 0.594842    86 86 0.711639
9 9 0.917656    120 120 1.22171
39 39 1.6863    86 86 0.702136
35 35 1.14214    121 121 1.04886
39 39 1.20595    86 86 0.702136
9 9 0.917656    120 120 1.45764
34 34 1.08418    60 60 0.624785
35 35 1.14214    121 121 1.77099
39 39 1.70806    86 86 0.702136
9 9 0.917656    120 120 1.60272
39 39 1.72764    86 86 0.702136
9 9 0.917656    120 120 1.58934
49 35 1.53017    100 100 0.738088
49 49 1.00426    130 121 1.45961
39 39 1.34438    86 86 0.702136
49 49 1.04274    121 121 0.976743
49 49 1.04366    100 100 0.738088
49 49 1.04274    121 121 0.998947
39 39 1.80692    86 86 0.702136
9 9 0.917656    120 120 1.506
39 39 1.82918    86 86 0.702136
9 9 0.917656    120 120 1.38627
39 39 1.29851    86 86 0.702136
9 9 0.917656    120 120 0.858329
49 49 0.272567    100 100 0.738088
9 9 0.64044    71 71 1.08838
15 15 1.64954    86 86 0.587544
9 9 0.917656    120 120 1.77029
28 28 0.455424    60 60 0.535878
9 9 0.64044    71 71 0.984912
15 15 1.46047    86 86 0.587544
9 9 0.917656    120 120 1.76466
39 39 1.58107    86 86 0.702136
9 9 0.917656    120 120 1.37205
39 39 1.65966    86 86 0.702136
9 9 0.917656    120 120 1.04073
39 39 1.94992    86 86 0.702136
9 9 0.917656    120 120 1.57023
49 49 0.878632    100 100 0.738088
9 9 0.917656    120 120 1.67665
39 39 0.775757    86 86 0.702136
9 9 0.917656    120 120 1.76383
39 39 1.8488    86 86 0.702136
49 49 0.938414    134 130 1.60212
43 43 0.572253    60 60 0.994821
9 9 0.917656    120 120 1.66115
39 39 0.441705    86 86 0.702136
28 28 0.849577    60 60 0.622025
39 39 1.76834    86 86 0.702136
28 28 0.849577    60 60 0.61052
50 48 1.51324    100 100 0.598232
9 9 0.917656    120 120 1.76151
39 39 1.92482    86 86 0.702136
9 9 0.917656    120 120 1.61734
15 15 1.73776    86 86 0.587544
9 9 0.917656    120 120 1.65981
39 39 1.50615    86 86 0.702136
49 49 1.31741    144 134 1.9358
39 39 1.77855    86 86 0.702136
9 9 0.917656    120 120 1.48136
39 39 1.85869    86 86 0.702136
9 9 0.64044    71 71 1.03565
39 39 1.29138    86 86 0.702136
9 9 0.917656    120 120 1.30988
49 49 0.491202    100 100 0.738088
9 9 0.490424    16 16 0.650028
39 39 1.74235    86 86 0.702136
9 9 0.64044    71 71 0.855136
50 50 0.565994    100 100 0.598232
49 49 0.938414    134 134 0.964704
39 39 1.89647    86 86 0.702136
9 9 0.917656    120 120 1.10468
51 49 1.33029    100 100 0.83005
51 51 1.16445    149 144 0.826326
39 39 1.68872    86 86 0.702136
51 51 1.26304    144 144 0.660469
39 39 1.77961    86 86 0.702136
9 9 0.917656    120 120 1.31639
39 39 1.88765    86 86 0.702136
9 9 0.917656    120 120 1.1753
51 51 0.386981    100 100 0.83005
9 9 0.917656    120 120 1.17607
53 51 1.80954    100 100 1.02036
9 9 0.917656    120 120 1.61651
39 39 1.74167    86 86 0.702136
9 9 0.917656    120 120 1.36881
15 15 1.01264    86 86 0.587544
9 9 0.254606    86 86 0.639395
39 39 1.83856    86 86 0.702136
9 9 0.917656    120 120 1.54626
15 15 0.848248    86 86 0.587544
54 53 1.31727    144 144 1.54802
39 39 1.99188    86 86 0.702136
9 9 0.547565    17 17 0.657882
39 39 1.73232    86 86 0.702136
55 54 1.26348    152 145 1.23047
39 39 0.842188    86 86 0.702136
9 9 0.917656    120 120 1.26485
39 39 1.60003    86 86 0.702136
28 28 0.275029    30 30 1.40932
39 39 1.62068    86 86 0.702136
9 9 0.917656    120 120 0.955729
9 9 0.649425    86 86 0.29363
9 9 0.917656    120 120 1.59657
39 39 1.81216    86 86 0.702136
9 9 0.493714    111 111 1.41411
39 39 1.78205    86 86 0.702136
9 9 0.917656    120 120 1.5573
39 39 1.7734    86 86 0.702136
9 9 0.917656    120 120 1.65533
39 39 1.84039    86 86 0.702136
9 9 0.917656    120 120 1.66393
56 55 1.49493    100 100 1.0546
56 56 1.3148    152 152 0.75755
39 39 1.74801    86 86 0.702136
9 9 0.917656    120 120 1.56952
56 56 1.46738    100 100 1.0546
9 9 0.917656    120 120 1.59135
39 39 1.75668    86 86 0.702136
9 9 0.917656    120 120 1.46733
34 34 0.0718464    60 60 0.624785
9 9 0.917656    120 120 1.53865
39 39 1.51688    86 86 0.702136
9 9 0.254606    86 86 0.769831
51 51 0.381419    100 100 0.83005
56 56 1.3148    152 152 1.34539
15 15 1.65549    86 86 0.587544
9 9 0.917656    120 120 1.73756
39 39 1.58554    86 86 0.702136
9 9 0.917656    120 120 1.39068
56 56 1.23546    100 100 1.0546
56 56 1.3148    152 152 1.08618
15 15 1.83968    86 86 0.587544
55 55 0.829393    121 121 1.08409
39 39 1.85765    86 86 0.702136
9 9 0.917656    120 120 1.76136
39 39 1.991    86 86 0.702136
9 9 0.917656    120 120 1.50544
39 39 1.91668    86 86 0.702136
9 9 0.917656    120 120 1.75717
15 15 1.83259    86 86 0.587544
56 56 1.24597    144 144 1.70648
39 39 1.87295    86 86 0.702136
56 56 1.24597    144 144 1.92706
39 39 1.35966    86 86 0.702136
9 9 0.64044    71 71 0.886312
39 39 1.427    86 86 0.702136
9 9 0.917656    120 120 1.56425
39 39 1.97843    86 86 0.702136
9 9 0.64044    71 71 0.904066
50 50 0.802947    100 100 0.598232
9 9 0.917656    120 120 1.40216
39 39 1.0493    86 86 0.702136
9 9 0.917656    120 120 1.67711
56 56 0.199103    100 100 1.0546
9 9 0.917656    120 120 1.72021
39 39 1.9582    86 86 0.702136
9 9 0.917656    120 120 1.43705
39 39 1.93188    86 86 0.702136
9 9 0.917656    120 120 1.00123
39 39 1.5216    86 86 0.702136
28 28 0.157624    59 59 0.814974
39 39 1.71915    86 86 0.702136
9 9 0.917656    120 120 1.19152
39 39 1.69367    86 86 0.702136
55 55 0.0867009    100 100 0.908442
39 39 0.162894    86 86 0.702136
9 9 0.917656    120 120 1.55235
39 39 1.45393    86 86 0.702136
9 9 0.917656    120 120 1.70388
15 15 1.73744    86 86 0.587544
55 55 0.857509    137 137 1.38076
39 39 1.9074    86 86 0.702136
9 9 0.917656    120 120 1.68954
39 39 1.91957    86 86 0.702136
9 9 0.917656    120 120 1.43071
15 15 1.77066    86 86 0.587544
9 9 0.64044    71 71 0.922733
39 39 1.83935    86 86 0.702136
9 9 0.917656    120 120 0.912524
9 9 0.765092    86 86 0.29363
9 9 0.917656    120 120 1.31869
39 39 1.48492    86 86 0.702136
9 9 0.917656    120 120 1.52009
39 39 1.10588    86 86 0.702136
9 9 0.917656    120 120 1.69329
39 39 1.81356    86 86 0.702136
9 9 0.917656    120 120 1.24581
15 15 1.63161    86 86 0.587544
9 9 0.254606    86 86 0.594284
50 50 0.794547    100 100 0.598232
9 9 0.917656    120 120 1.53356
39 39 0.745214    86 86 0.702136
9 9 0.917656    120 120 1.45912
39 39 1.9211    86 86 0.702136
9 9 0.917656    120 120 0.613611
9 9 0.790179    86 86 0.29363
9 9 0.917656    120 120 1.67018
56 56 1.3021    100 100 1.0546
9 9 0.917656    120 120 1.75351
39 39 1.7499    86 86 0.702136
9 9 0.917656    120 120 1.23897
39 39 1.54679    86 86 0.702136
9 9 0.917656    120 120 1.55549
39 39 1.94123    86 86 0.702136
55 55 0.0867009    100 100 1.00398
39 39 1.74286    86 86 0.702136
55 55 0.751515    130 130 1.66714
39 39 1.95949    86 86 0.702136
56 56 1.33258    153 152 1.83241
39 39 1.91307    86 86 0.702136
9 9 0.917656    120 120 1.37331
56 56 0.686031    100 100 1.0546
28 28 0.849577    60 60 0.545557
56 56 1.59994    100 100 1.0546
9 9 0.917656    120 120 1.23689
15 15 1.19958    86 86 0.587544
55 55 0.0867009    100 100 1.08979
39 39 1.70734    86 86 0.702136
9 9 0.917656    120 120 1.36641
56 56 0.924822    100 100 1.0546
9 9 0.917656    120 120 1.45174
56 56 0.662108    100 100 1.0546
9 9 0.64044    71 71 0.907542
39 39 1.61293    86 86 0.702136
9 9 0.917656    120 120 1.21237
34 34 0.145146    60 60 0.624785
55 55 0.829393    121 121 1.49347
39 39 1.71686    86 86 0.702136
9 9 0.917656    120 120 0.816096
56 56 0.55179    100 100 1.0546
9 9 0.917656    120 120 1.56625
39 39 1.85098    86 86 0.702136
56 56 1.24597    144 144 1.23836
56 56 0.237945    100 100 1.0546
56 56 1.33258    153 153 0.98718
17 17 0.523168    86 86 0.863072
28 28 0.157624    59 59 0.261801
39 39 1.87123    86 86 0.702136
9 9 0.917656    120 120 1.6332
39 39 1.86313    86 86 0.702136
28 28 0.157624    59 59 1.06919
39 39 1.97062    86 86 0.702136
28 28 0.849577    60 60 0.979978
