3 0 0.428363    8 0 1.07717
3 3 0.831556    18 8 1.80768
13 3 1.46052    19 12 0.412638
16 13 0.583236    29 18 1.23855
26 16 1.31609    32 21 0.792133
3 3 0.502122    38 0 1.7728
34 26 0.736412    39 32 0.695964
21 21 0.234861    41 29 1.5733
34 34 1.51407    39 39 0.708429
21 21 0.234861    41 41 1.42824
34 34 1.34576    39 39 0.708429
21 21 0.234861    41 41 1.44755
3 3 1.75427    19 19 0.602138
3 3 0.502122    38 38 1.2975
34 34 1.41376    39 39 0.708429
18 18 0.20998    39 39 0.279132
44 13 1.21514    19 19 0.213175
21 21 0.234861    41 41 1.35366
34 34 1.26864    39 39 0.708429
31 31 0.210013    42 41 1.2341
34 34 1.5147    39 39 0.708429
31 31 0.210013    42 42 1.50903
34 34 1.0865    39 39 0.708429
3 3 1.00451    51 38 2.01989
54 44 2.179    52 8 0.403103
3 3 1.00451    51 51 1.95068
34 34 1.15124    39 39 0.708429
3 3 1.00451    51 51 1.32605
64 32 1.45125    39 39 1.09512
31 31 0.210013    42 42 0.919997
74 54 2.28835    83 51 0.880081
