5 0 0.973615    8 0 0.952566
5 5 1.1743    18 8 2.17649
15 5 1.83721    19 12 0.403788
16 9 0.939617    20 18 1.93416
17 15 2.04147    19 19 0.544197
5 5 0.651616    26 0 2.05475
17 17 1.27467    19 19 0.544197
16 16 1.07031    27 20 1.76349
17 17 1.91291    19 19 0.544197
16 16 1.07031    27 27 1.61264
17 17 1.47536    19 19 0.544197
16 16 1.07031    27 27 1.66315
26 0 1.26846    8 8 1.00133
16 16 0.802816    37 18 0.467585
17 17 1.59807    19 19 0.544197
16 16 0.925906    39 37 0.808802
27 15 0.470313    19 19 0.403832
16 16 0.925906    39 39 2.06427
17 17 1.70867    19 19 0.544197
16 16 1.07031    27 27 1.13766
17 17 1.86177    19 19 0.544197
16 16 1.07031    27 27 1.5678
32 17 1.65934    19 19 0.606815
26 26 0.179641    26 26 2.08055
26 26 1.521    8 8 1.00133
26 26 0.179641    26 26 1.3098
32 32 1.63006    19 19 0.606815
16 16 0.331782    49 21 1.26468
34 32 1.81341    27 27 0.241476
16 16 0.287016    50 49 1.73778
44 26 1.94954    8 8 1.36732
49 34 0.349628    52 39 2.14634
49 49 1.83088    27 27 0.237373
49 49 0.288681    27 27 1.47686
49 49 0.826873    27 27 0.237373
26 26 0.179641    26 26 1.14155
51 44 1.3677    8 8 1.48432
49 49 0.43057    52 52 2.13619
34 34 1.72863    27 27 0.241476
49 49 0.43057    52 52 2.24808
53 51 1.46582    8 8 1.54334
49 49 0.43057    52 52 2.04577
53 53 1.30858    8 8 1.54334
49 49 0.43057    52 52 2.14782
53 53 0.487665    8 8 1.54334
16 16 0.0356138    19 19 0.101166
61 44 0.8864    8 8 1.16981
26 26 0.631421    62 26 2.16508
34 34 1.49236    27 27 0.241476
5 5 0.319408    63 8 0.348136
34 34 1.54568    27 27 0.241476
16 16 0.287016    50 50 0.826779
49 49 1.83824    27 27 0.237373
49 49 0.43057    52 52 1.79967
61 61 1.39607    63 63 1.1996
49 49 0.43057    52 52 2.22543
34 34 1.39214    27 27 0.241476
