-0.0421196  0.0349612 -0.0894093
  0.113048 0.00242492   0.100486
   0.11303 0.00242429    0.10047
  0.113012 0.00242367   0.100454
  0.112994 0.00242305   0.100438
  0.112976 0.00242244   0.100422
  0.112958 0.00242182   0.100406
   0.11294 0.00242121    0.10039
 0.112923 0.0024206  0.100374
0.112905  0.00242 0.100358
  0.112888 0.00241939   0.100342
   0.11287 0.00241879   0.100327
  0.112853 0.00241819   0.100311
 0.112836 0.0024176  0.100296
0.112818 0.002417  0.10028
  0.112801 0.00241641   0.100265
  0.112784 0.00241582    0.10025
  0.112767 0.00241524   0.100235
   0.11275 0.00241465   0.100219
  0.112734 0.00241407   0.100204
  0.112717 0.00241349   0.100189
    0.1127 0.00241291   0.100174
  0.112684 0.00241234    0.10016
  0.112667 0.00241176   0.100145
  0.112651 0.00241119    0.10013
  0.112635 0.00241062   0.100115
  0.112618 0.00241006   0.100101
  0.112602 0.00240949   0.100086
  0.112586 0.00240893   0.100072
   0.11257 0.00240837   0.100057
  0.112554 0.00240781   0.100043
  0.112538 0.00240726   0.100029
  0.112522 0.00240671   0.100015
  0.112507 0.00240616        0.1
  0.112491 0.00240561  0.0999864
  0.112475 0.00240506  0.0999724
   0.11246 0.00240452  0.0999584
  0.112444 0.00240397  0.0999445
  0.112429 0.00240343  0.0999307
 0.112414 0.0024029 0.0999169
  0.112398 0.00240236  0.0999032
  0.112383 0.00240183  0.0998896
 0.112368 0.0024013  0.099876
  0.112353 0.00240077  0.0998625
  0.112338 0.00240024   0.099849
  0.112323 0.00239971  0.0998356
  0.112308 0.00239919  0.0998223
  0.112293 0.00239867   0.099809
  0.112279 0.00239815  0.0997958
  0.112264 0.00239763  0.0997826
  0.112249 0.00239712  0.0997695
  0.112235 0.00239661  0.0997565
  0.11222 0.0023961 0.0997435
  0.112206 0.00239559  0.0997306
  0.112192 0.00239508  0.0997177
  0.112178 0.00239457  0.0997049
  0.112163 0.00239407  0.0996921
  0.112149 0.00239357  0.0996794
  0.112135 0.00239307  0.0996668
  0.112121 0.00239257  0.0996542
  0.112107 0.00239208  0.0996416
  0.112093 0.00239158  0.0996292
  0.112079 0.00239109  0.0996167
 0.112066 0.0023906 0.0996044
  0.112052 0.00239012   0.099592
  0.112038 0.00238963  0.0995798
  0.112025 0.00238915  0.0995676
  0.112011 0.00238866  0.0995554
  0.111998 0.00238818  0.0995433
  0.111984 0.00238771  0.0995313
  0.111971 0.00238723  0.0995193
  0.111958 0.00238675  0.0995073
  0.111945 0.00238628  0.0994955
  0.111931 0.00238581  0.0994836
  0.111918 0.00238534  0.0994718
  0.111905 0.00238487  0.0994601
  0.111892 0.00238441  0.0994484
  0.111879 0.00238394  0.0994368
  0.111866 0.00238348  0.0994252
  0.111854 0.00238302  0.0994137
  0.111841 0.00238256  0.0994022
  0.111828 0.00238211  0.0993908
  0.111816 0.00238165  0.0993794
 0.111803 0.0023812 0.0993681
   0.11179 0.00238075  0.0993568
 0.111778 0.0023803 0.0993456
  0.111765 0.00237985  0.0993344
 0.111753 0.0023794 0.0993232
  0.111741 0.00237896  0.0993122
  0.111729 0.00237851  0.0993011
  0.111716 0.00237807  0.0992901
  0.111704 0.00237763  0.0992792
 0.111692 0.0023772 0.0992683
   0.11168 0.00237676  0.0992575
  0.111668 0.00237632  0.0992467
  0.111656 0.00237589  0.0992359
  0.111644 0.00237546  0.0992252
  0.111632 0.00237503  0.0992145
 0.111621 0.0023746 0.0992039
  0.111609 0.00237418  0.0991933
  0.111597 0.00237375  0.0991828
  0.111585 0.00237333  0.0991723
 0.111574 0.0023729 0.0991619
  0.111562 0.00237248  0.0991515
  0.111551 0.00237207  0.0991412
  0.111539 0.00237165  0.0991309
  0.111528 0.00237123  0.0991206
  0.111517 0.00237082  0.0991104
  0.111505 0.00237041  0.0991003
 0.111494   0.00237 0.0990901
  0.111483 0.00236959  0.0990801
  0.111472 0.00236918    0.09907
  0.111461 0.00236877    0.09906
   0.11145 0.00236837  0.0990501
  0.111439 0.00236796  0.0990402
  0.111428 0.00236756  0.0990303
  0.111417 0.00236716  0.0990205
  0.111406 0.00236676  0.0990107
  0.111395 0.00236637   0.099001
  0.111384 0.00236597  0.0989913
  0.111374 0.00236558  0.0989816
  0.111363 0.00236518   0.098972
  0.111352 0.00236479  0.0989624
 0.111342 0.0023644 0.0989529
