_seed,sample_counts,extend_try,constraint_project_success,constraint_project_success_rate,ik_success,ik_success_rate,extend_success,extend_success_rate,average_success_constraint_project_compute_times,average_ik_compute_times,average_success_ik_compute_times,total_sample_time,total_extend_time,total_project_time,total_ik_time,average_sample_time,average_extend_time,average_extend_project_time,average_extend_ik_time,average_extend_one_project_time,average_extend_one_ik_time,
1443164337,2500,14035,14009,0.998147,10956,0.78062,9093,0.64788,2.23192,3.10794,3.30358,29.6018,19.2254,5.70385,12.3201,0.0118407,0.00136982,0.000406402,0.000877816,0.00017853,0.000282443,
1661003710,2217,14528,14512,0.998899,11965,0.823582,10114,0.696173,2.07449,2.8337,2.9308,26.9923,17.2526,5.09702,10.9043,0.0121751,0.00118754,0.000350841,0.000750571,0.000166379,0.000264873,
1707836117,2500,12418,12383,0.997182,8707,0.70116,7461,0.600821,2.1561,2.99976,3.28885,24.87,16.3783,4.79226,10.6507,0.00994801,0.00131892,0.000385912,0.000857685,0.000173746,0.000285918,
