_seed,sample_counts,extend_try,constraint_project_success,constraint_project_success_rate,ik_success,ik_success_rate,extend_success,extend_success_rate,average_success_constraint_project_compute_times,average_ik_compute_times,average_success_ik_compute_times,total_sample_time,total_extend_time,total_project_time,total_ik_time,average_sample_time,average_extend_time,average_extend_project_time,average_extend_ik_time,average_extend_one_project_time,average_extend_one_ik_time,
36771711,10000,26016,12661,0.486662,12523,0.481358,6107,0.23474,1.01295,0.85186,1.761,75.0664,44.5849,6.02984,33.627,0.00750664,0.00171375,0.000231774,0.00129255,0.000114353,0.00151733,
1677823657,10000,24166,9477,0.392163,7245,0.299801,4241,0.175494,1.01636,0.833526,2.49262,138.87,116.639,5.98865,106.166,0.013887,0.00482656,0.000247813,0.00439322,0.000120399,0.00527064,
1899237454,599,1379,606,0.439449,605,0.438724,185,0.134155,1.0231,1.02466,2.33223,0.9517,0.852876,0.330851,0.292865,0.00158881,0.000618474,0.000239921,0.000212375,0.000116374,0.000207265,
1560430031,1687,4038,2076,0.514116,2076,0.514116,674,0.166914,1.01252,1.20456,2.34297,3.20828,2.5769,0.862502,1.01268,0.00190176,0.000638162,0.000213596,0.000250789,0.000111391,0.0002082,
963607153,868,2456,973,0.396173,973,0.396173,737,0.300081,1.04625,1.10464,2.78828,2.06127,1.72481,0.717549,0.541691,0.00237474,0.000702285,0.000292161,0.000220558,0.000121126,0.000199665,
