_seed,sample_counts,extend_try,constraint_project_success,constraint_project_success_rate,ik_success,ik_success_rate,extend_success,extend_success_rate,average_success_constraint_project_compute_times,average_ik_compute_times,average_success_ik_compute_times,total_sample_time,total_extend_time,total_project_time,total_ik_time,average_sample_time,average_extend_time,average_extend_project_time,average_extend_ik_time,average_extend_one_project_time,average_extend_one_ik_time,
1272869969,291,2809,2802,0.997508,2494,0.88786,2238,0.796725,1.94004,5.44464,2.60064,4.70935,4.34331,0.538239,2.92251,0.0161834,0.00154621,0.000191612,0.00104041,9.88683e-05,0.000191089,
551632951,83,586,584,0.996587,477,0.813993,425,0.725256,2.02568,7.56826,2.58281,1.13497,1.10476,0.119024,0.811837,0.0136743,0.00188526,0.000203113,0.00138539,0.000100443,0.000183052,
1734191538,1,9,9,1,9,1,8,0.888889,1.55556,2.66667,2.66667,0.00940599,0.00920751,0.00119446,0.00525589,0.00940599,0.00102306,0.000132717,0.000583988,8.53183e-05,0.000218996,
1772094252,17,144,143,0.993056,131,0.909722,111,0.770833,2.26573,3.71528,2.40458,0.191486,0.186526,0.0343379,0.109389,0.0112639,0.00129532,0.000238458,0.000759645,0.000105655,0.000204465,
373830987,5,167,166,0.994012,161,0.964072,157,0.94012,2.70482,2.71257,2.23602,0.2062,0.202754,0.0514825,0.0999776,0.0412399,0.00121409,0.000308278,0.000598668,0.000114406,0.000220701,
