_seed,sample_counts,extend_try,constraint_project_success,constraint_project_success_rate,ik_success,ik_success_rate,extend_success,extend_success_rate,average_success_constraint_project_compute_times,average_ik_compute_times,average_success_ik_compute_times,total_sample_time,total_extend_time,total_project_time,total_ik_time,average_sample_time,average_extend_time,average_extend_project_time,average_extend_ik_time,average_extend_one_project_time,average_extend_one_ik_time,
1443164337,2286,14625,14568,0.996103,11822,0.808342,10053,0.687385,2.36566,2.59179,2.71824,18.5718,8.6631,2.68135,4.91995,0.00812413,0.000592349,0.00018334,0.000336407,7.76574e-05,0.000129797,
1661003710,1130,6381,6351,0.995299,5154,0.80771,4124,0.646294,2.32908,2.52578,2.63931,5.63782,3.61705,1.12949,2.06876,0.00498922,0.000566846,0.000177008,0.000324206,7.61519e-05,0.000128359,
1707836117,2500,11858,11812,0.996121,8293,0.699359,6858,0.578344,2.38562,2.56932,2.78898,13.6876,6.92195,2.18112,4.02585,0.00547505,0.000583737,0.000183936,0.000339505,7.7257e-05,0.000132138,
