_seed,sample_counts,extend_try,constraint_project_success,constraint_project_success_rate,ik_success,ik_success_rate,extend_success,extend_success_rate,average_success_constraint_project_compute_times,average_ik_compute_times,average_success_ik_compute_times,total_sample_time,total_extend_time,total_project_time,total_ik_time,average_sample_time,average_extend_time,average_extend_project_time,average_extend_ik_time,average_extend_one_project_time,average_extend_one_ik_time,
1800840158,344,856,465,0.543224,172,0.200935,170,0.198598,3.66452,0.738318,2.93023,0.697221,0.63415,0.444579,0.146625,0.00202681,0.00074083,0.000519368,0.000171291,0.000199901,0.000232002,
616644949,196,515,257,0.499029,125,0.242718,125,0.242718,4.01167,0.900971,2.8,0.466065,0.433363,0.297101,0.107922,0.00237788,0.000841481,0.000576896,0.000209558,0.000208638,0.000232592,
244662736,5000,10378,3821,0.368183,405,0.0390249,404,0.0389285,3.63805,0.210927,2.91605,6.53576,5.16454,4.38928,0.559188,0.00130715,0.000497643,0.000422941,5.3882e-05,0.000206661,0.000255454,
1587070307,866,1910,1299,0.680105,180,0.0942408,180,0.0942408,3.55196,0.532984,2.87778,1.57205,1.40475,1.07464,0.256236,0.0018153,0.00073547,0.00056264,0.000134155,0.000193177,0.000251705,
1722777583,448,1081,680,0.629047,192,0.177613,189,0.174838,3.67941,0.586494,2.82812,0.869727,0.782,0.585615,0.144317,0.00194135,0.000723404,0.000541734,0.000133503,0.0001954,0.00022763,
