seed,sample_counts,extend_counts,project_success_counts,project_rate
0,1832,3803,1145,0.301078
1,443,955,412,0.431414
2,3519,7322,2016,0.275335
3,780,1653,783,0.473684
4,6009,12334,4121,0.334117
5,308,687,146,0.212518
6,1725,3557,787,0.221254
7,1002,2110,694,0.32891
8,1361,2850,1239,0.434737
9,1146,2436,919,0.377258
