_seed,sample_counts,extend_try,constraint_project_success,constraint_project_success_rate,ik_success,ik_success_rate,extend_success,extend_success_rate,average_success_constraint_project_compute_times,average_ik_compute_times,average_success_ik_compute_times,total_sample_time,total_extend_time,total_project_time,total_ik_time,average_sample_time,average_extend_time,average_extend_project_time,average_extend_ik_time,average_extend_one_project_time,average_extend_one_ik_time,
1800840158,344,860,474,0.551163,176,0.204651,174,0.202326,3.6962,0.754651,2.97159,0.884193,0.804911,0.567358,0.180872,0.00257033,0.000935943,0.000659719,0.000210317,0.00024298,0.000278694,
616644949,140,403,251,0.622829,126,0.312655,126,0.312655,4.11155,1.15136,2.80952,0.494964,0.465279,0.301774,0.128801,0.00353545,0.00115454,0.00074882,0.000319605,0.000243563,0.000277588,
244662736,5000,10435,4361,0.41792,625,0.0598946,466,0.0446574,3.75625,0.289315,2.9824,7.88058,6.35027,5.29555,0.784303,0.00157612,0.000608555,0.000507479,7.51608e-05,0.000217048,0.000259789,
1587070307,1048,2343,1432,0.611182,253,0.107981,252,0.107554,3.71439,0.504481,2.91304,1.84882,1.64007,1.25952,0.287239,0.00176414,0.000699988,0.000537568,0.000122595,0.000195913,0.000243011,
1722777583,448,1085,640,0.589862,195,0.179724,193,0.17788,3.72031,0.597235,2.8359,0.872319,0.781768,0.577871,0.150542,0.00194714,0.000720524,0.0005326,0.000138748,0.000199197,0.000232317,
